£||#||#||———
name||set||set_code||id||type||power||toughness||loyalty||manacost||converted_manacost||artist||flavor||color||generated_mana||number||rarity||rating||ruling||variation||ability||pricing_low||pricing_mid||pricing_high||watermark||print_number||is_original||back_id||number_int||name_CN||name_TW||name_FR||name_DE||name_IT||name_JP||name_PT||name_RU||name_ES||name_KO||type_CN||type_TW||type_FR||type_DE||type_IT||type_JP||type_PT||type_RU||type_ES||type_KO||ability_CN||ability_TW||ability_FR||ability_DE||ability_IT||ability_JP||ability_PT||ability_RU||ability_ES||ability_KO||flavor_CN||flavor_TW||flavor_FR||flavor_DE||flavor_IT||flavor_JP||flavor_PT||flavor_RU||flavor_ES||flavor_KO||color_identity||fully_handled||custom_sort||legality_Block||legality_Standard||legality_Modern||legality_Legacy||legality_Vintage||legality_Highlander||legality_French_Commander||legality_Tiny_Leaders_Commander||legality_Leviathan_Commander||legality_Commander||legality_Peasant||legality_Pauper||
Hour of Glory||Hour of Devastation||HOU||430754||Instant||||||||{3}{B}||4||Svetlin Velinov||#The gods of the trials also faced the opportunity to prove themselves worthy.#||B||||65||R||5||£6/27/2017 : If the target creature is an illegal target by the time Hour of Glory resolves, the entire spell is countered. No player reveals his or her hand or exiles cards from it.£6/27/2017 : There are many important moments in the story, but the most crucial—called “story spotlights”—are shown on cards. You can read more about these events in the official Magic fiction at http://www.mtgstory.com.||||Exile target creature. If that creature was a God, its controller reveals his or her hand and exiles all cards from it with the same name as that creature.||||||||||||||||65||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||B||True||||||||||||||||||||||||||||
Hour of Promise||Hour of Devastation||HOU||430809||Sorcery||||||||{4}{G}||5||Jonas De Ro||#With the Hekma breached and its protection removed, the deserts swept in.#||G||||120||R||5||£6/27/2017 : When Hour of Promise checks the number of Deserts you control, it includes any Deserts you found earlier with Hour of Promise.£6/27/2017 : There are many important moments in the story, but the most crucial—called “story spotlights”—are shown on cards. You can read more about these events in the official Magic fiction at http://www.mtgstory.com.||||Search your library for up to two land cards, put them onto the battlefield tapped, then shuffle your library. Then if you control three or more Deserts, create two 2/2 black Zombie creature tokens.||||||||||||||||120||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||G||True||||||||||||||||||||||||||||
Hour of Revelation||Hour of Devastation||HOU||430704||Sorcery||||||||{3}{W}{W}{W}||6||Raymond Swanland||#In the first moments, the gate to the afterlife opened, and the people were prostrate in the light of the God-Pharaoh.#||W||||15||R||5||£6/27/2017 : You determine the cost to cast Hour of Revelation before you pay any of that cost. For example, if the only nonland permanents on the battlefield are Tezzeret the Schemer and nine Etherium Cells he’s given you, Hour of Revelation costs {W}{W}{W} to cast. You may sacrifice three Etherium Cells to pay this cost, even though there are no longer ten or more nonland permanents after you produce {W}{W}{W}.£6/27/2017 : There are many important moments in the story, but the most crucial—called “story spotlights”—are shown on cards. You can read more about these events in the official Magic fiction at http://www.mtgstory.com.||||Hour of Revelation costs {3} less to cast if there are ten or more nonland permanents on the battlefield.£Destroy all nonland permanents.||||||||||||||||15||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||W||True||||||||||||||||||||||||||||
Ifnir Deadlands||Hour of Devastation||HOU||430868||Land — Desert||||||||||0||Jonas De Ro||||L||{B}{C}||179||U||5||£4/18/2017 : Desert is a land subtype with no special meaning. It doesn’t grant the land an intrinsic mana ability. Other cards may care about which lands are Deserts.£6/27/2017 : If a Desert has an ability with a cost of “Sacrifice a Desert,” you can sacrifice that Desert to pay the cost for its own ability.||||{T}: Add {C} to your mana pool.£{T}, Pay 1 life: Add {B} to your mana pool.£{2}{B}{B}, {T}, Sacrifice a Desert: Put two -1/-1 counters on target creature an opponent controls. Activate this ability only any time you could cast a sorcery.||||||||||||||||179||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||B||True||||||||||||||||||||||||||||
Imaginary Threats||Hour of Devastation||HOU||430726||Instant||||||||{2}{U}{U}||4||Magali Villeneuve||#Liliana always knew Jace's illusions would come in handy.#||U||||37||U||5||£6/27/2017 : No creatures that player controls will untap during his or her next untap step, even creatures that don’t attack. This includes creatures that enter the battlefield or become tapped after this spell resolves.£6/27/2017 : If the opponent exerts any creatures he or she controls, exert and the effect from Imaginary Threats stopping them from untapping both apply in the same untap step. Those creatures will untap as normal in the player’s subsequent untap step.£6/27/2017 : If, during that player’s declare attackers step, a creature that player controls is tapped or is affected by a spell or ability that says it can’t attack, then it doesn’t attack. If there’s a cost associated with having a creature attack, its controller isn’t forced to pay that cost, so it doesn’t have to attack in that case either.||||Creatures target opponent controls attack this turn if able. During that player's next untap step, creatures he or she controls don't untap.£Cycling {2} #({2}, Discard this card: Draw a card.)#||||||||||||||||37||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||U||True||||||||||||||||||||||||||||
Imminent Doom||Hour of Devastation||HOU||430787||Enchantment||||||||{2}{R}||3||Daniel Ljunggren||||R||||98||R||5||£6/27/2017 : Imminent Doom’s triggered ability resolves before the spell that caused it to trigger. The ability will resolve even if that spell is countered.£6/27/2017 : If a spell has {X} in its mana cost, include the value chosen for that X when determining the converted mana cost of that spell.£6/27/2017 : The amount of damage Imminent Doom’s triggered ability deals is the number of counters it had on it as the ability triggered. For example, if you cast Shock and then respond to Imminent Doom’s triggered ability with a second Shock, both abilities cause Imminent Doom to deal 1 damage and Imminent Doom will end up with three doom counters on it.||||Imminent Doom enters the battlefield with a doom counter on it.£Whenever you cast a spell with converted mana cost equal to the number of doom counters on Imminent Doom, Imminent Doom deals that much damage to target creature or player. Then put a doom counter on Imminent Doom.||||||||||||||||98||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||R||True||||||||||||||||||||||||||||
Inferno Jet||Hour of Devastation||HOU||430788||Sorcery||||||||{5}{R}||6||Jakub Kasper||#"When the whole world is crazy, it's important to find something you can rely on."#||R||||99||U||5||||||Inferno Jet deals 6 damage to target opponent.£Cycling {2} #({2}, Discard this card: Draw a card.)#||||||||||||||||99||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||R||True||||||||||||||||||||||||||||
Ipnu Rivulet||Hour of Devastation||HOU||430869||Land — Desert||||||||||0||James Paick||||L||{U}{C}||180||U||5||£4/18/2017 : Desert is a land subtype with no special meaning. It doesn’t grant the land an intrinsic mana ability. Other cards may care about which lands are Deserts.£6/27/2017 : If a Desert has an ability with a cost of “Sacrifice a Desert,” you can sacrifice that Desert to pay the cost for its own ability.||||{T}: Add {C} to your mana pool.£{T}, Pay 1 life: Add {U} to your mana pool.£{1}{U}, {T}, Sacrifice a Desert: Target player puts the top four cards of his or her library into his or her graveyard.||||||||||||||||180||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||U||True||||||||||||||||||||||||||||
Island||Hour of Devastation||HOU||430875||Basic Land — Island||||||||||0||Richard Wright||||L||{U}||186||C||5||||1||{U}||||||||||||||||186||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||U||True||||||||||||||||||||||||||||
Jace's Defeat||Hour of Devastation||HOU||430727||Instant||||||||{1}{U}||2||Kieran Yanner||#"I had hoped for more from you, Jace. But I expected as much."£—Nicol Bolas#||U||||38||U||5||||||Counter target blue spell. If it was a Jace planeswalker spell, scry 2.||||||||||||||||38||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||U||True||||||||||||||||||||||||||||
Kefnet's Last Word||Hour of Devastation||HOU||430728||Sorcery||||||||{2}{U}{U}||4||Clint Cearley||#In his final moments, Kefnet reached into the minds of those around him, desperate for logic within the consuming chaos.#||U||||39||R||5||£6/27/2017 : The control-change effect of Kefnet’s Last Word lasts indefinitely. It doesn’t wear off during the cleanup step.£6/27/2017 : If the target permanent is an illegal target by the time Kefnet’s Last Word resolves, the entire spell is countered. Your lands will untap during your next untap step as normal.£6/27/2017 : Gaining control of a creature doesn’t cause you to gain control of any Auras or Equipment attached to it. They’ll remain attached, but an Aura’s effect that affects “you” still affects its controller rather than you, the controller of an Equipment can move it during his or her next main phase, and so on.£6/27/2017 : In a multiplayer game, if a player leaves the game, all cards that player owns leave as well, and any effects that give the player control of permanents immediately end.£6/27/2017 : No lands that you control will untap during your next untap step, even lands that aren’t tapped as this spell resolves. This includes lands that enter the battlefield after this spell resolves.£6/27/2017 : If more than one spell says that lands you control don’t untap during your next untap step, the effects will all wear off during that untap step. You’ll untap lands you control during your untap step after that one.||||Gain control of target artifact, creature, or enchantment. Lands you control don't untap during your next untap step.||||||||||||||||39||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||U||True||||||||||||||||||||||||||||
Khenra Eternal||Hour of Devastation||HOU||430755||Creature — Zombie Jackal Warrior||2||2||||{1}{B}||2||Tomasz Jedruszek||#For many years, servant mummies toiled in the mines to extract lazotep. The emergence of the Eternals revealed the sacred substance's true purpose.#||B||||66||C||5||£6/27/2017 : If multiple creatures block a creature with afflict, afflict triggers only once.£6/27/2017 : Afflict causes the defending player to lose life; it’s not damage or combat damage.£6/27/2017 : If a creature is attacking a planeswalker, that planeswalker’s controller is the defending player.£6/27/2017 : Afflict resolves before combat damage is dealt. If this loss of life brings a player to 0 life or less, that player loses the game immediately. A blocking creature with lifelink won’t deal combat damage in time to save that player.||||Afflict 1 #(Whenever this creature becomes blocked, defending player loses 1 life.)#||||||||||||||||66||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||B||True||||||||||||||||||||||||||||
Khenra Scrapper||Hour of Devastation||HOU||430789||Creature — Jackal Warrior||2||3||||{2}{R}||3||Jesper Ejsing||#"There is no tomorrow, so hold nothing back."#||R||||100||C||5||£4/18/2017 : You can’t exert a creature unless an effect allows you to do so. Similar effects that “tap and freeze” a creature (such as that of Decision Paralysis) don’t exert that creature.£4/18/2017 : If an exerted creature is already untapped during your next untap step (most likely because it had vigilance or an effect untapped it), exert’s effect preventing it from untapping expires without having done anything.£4/18/2017 : If you gain control of another player’s creature until end of turn and exert it, it will untap during that player’s untap step.£4/18/2017 : All cards in the Amonkhet set that let you exert a creature let you do so as you declare it as an attacking creature, as do some of the cards in the Hour of Devastation set. You can’t do so later in combat, and creatures put onto the battlefield attacking can’t be exerted. Any abilities that trigger on exerting an attacking creature will resolve before blockers are declared.||||Menace£You may exert Khenra Scrapper as it attacks. When you do, it gets +2/+0 until end of turn. #(An exerted creature won't untap during your next untap step.)#||||||||||||||||100||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||R||True||||||||||||||||||||||||||||
Kindled Fury||Hour of Devastation||HOU||430790||Instant||||||||{R}||1||Craig J Spearing||#The minotaur stared at the Eternal bearing down on him—the embodiment of deadly skill he had aspired to become.#||R||||101||C||5||£7/1/2012 : Giving a creature first strike after creatures with first strike deal combat damage doesn’t prevent that creature from dealing combat damage.||||Target creature gets +1/+0 and gains first strike until end of turn.||||||||||||||||101||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||R||True||||||||||||||||||||||||||||
Lethal Sting||Hour of Devastation||HOU||430756||Sorcery||||||||{2}{B}||3||Randy Vargas||#Initiates once believed defeat was the worst fate possible—a sentiment they quickly abandoned.#||B||||67||C||5||£6/27/2017 : If you don’t control any creatures or can’t put any -1/-1 counters on any creature you control, you can’t cast Lethal Sting.||||As an additional cost to cast Lethal Sting, put a -1/-1 counter on a creature you control.£Destroy target creature.||||||||||||||||67||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||B||True||||||||||||||||||||||||||||
Life Goes On||Hour of Devastation||HOU||430810||Instant||||||||{G}||1||Daarken||#"If you believe the God-Pharaoh tests you, charge with me to prove yourself. If you believe he betrayed us all, join with me to fight for tomorrow!"£—Samut, former Tah-crop initiate#||G||||121||C||5||£6/27/2017 : You won’t gain more than 8 life if more than one creature died this turn.£6/27/2017 : Life Goes On checks whether a creature has died during the turn only as it resolves.||||You gain 4 life. If a creature died this turn, you gain 8 life instead.||||||||||||||||121||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||G||True||||||||||||||||||||||||||||
Liliana's Defeat||Hour of Devastation||HOU||430757||Sorcery||||||||{B}||1||Kieran Yanner||#"All the power you have gathered for yourself, Liliana, I can take away."£—Nicol Bolas#||B||||68||U||5||||||Destroy target black creature or black planeswalker. If that permanent was a Liliana planeswalker, her controller loses 3 life.||||||||||||||||68||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||B||True||||||||||||||||||||||||||||
Lurching Rotbeast||Hour of Devastation||HOU||430758||Creature — Zombie Beast||4||2||||{3}{B}||4||Jason A. Engle||#The dead that swept across Naktamun came in all shapes and sizes.#||B||||69||C||5||||||Cycling {B} #({B}, Discard this card: Draw a card.)#||||||||||||||||69||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||B||True||||||||||||||||||||||||||||
Magmaroth||Hour of Devastation||HOU||430791||Creature — Elemental||5||5||||{3}{R}||4||Yeong-Hao Han||#Sand into glass and flesh into ash—such are the markers of its domain.#||R||||102||U||5||£6/27/2017 : Magmaroth’s second ability resolves before the spell that caused it to trigger. The ability will resolve even if that spell is countered.||||At the beginning of your upkeep, put a -1/-1 counter on Magmaroth.£Whenever you cast a noncreature spell, remove a -1/-1 counter from Magmaroth.||||||||||||||||102||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||R||True||||||||||||||||||||||||||||
Majestic Myriarch||Hour of Devastation||HOU||430811||Creature — Chimera||*||*||||{4}{G}||5||Randy Vargas||||G||||122||M||5||£6/27/2017 : Majestic Myriarch has received minor errata to clarify its functionality. The corrected Oracle wording appears above.£6/27/2017 : Majestic Myriarch’s first ability applies in all zones. While it’s on the battlefield, it counts itself, so it’ll be at least 2/2.£6/27/2017 : Majestic Myriarch’s second ability triggers at the beginning of each combat, not just combat on your turn, whether or not any creatures you control have any of the listed abilities.£6/27/2017 : Which abilities Majestic Myriarch gains is determined as the ability resolves. They won’t change even if every other creature that has the abilities leaves the battlefield or if creatures enter the battlefield or gain abilities.£6/27/2017 : If a creature gains one of the listed abilities before Majestic Mryiarch’s triggered ability resolves, perhaps due to another ability that triggered at the beginning of combat, Majestic Myriarch will gain that ability.£6/27/2017 : Multiple instances of any of the abilities Majestic Myriarch can gain are redundant.||||Majestic Myriarch's power and toughness are each equal to twice the number of creatures you control.£At the beginning of each combat, Majestic Myriarch gains flying until end of turn if you control a creature with flying. The same is true for first strike, double strike, deathtouch, haste, hexproof, indestructible, lifelink, menace, reach, trample, and vigilance.||||||||||||||||122||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||G||True||||||||||||||||||||||||||||
Manalith||Hour of Devastation||HOU||430853||Artifact||||||||{3}||3||Ryan Yee||#"Though the afterlife, the city, and even the God-Pharaoh himself were one great deception, the ideals championed by the gods remain true."£—Djeru, former Tah-crop initiate#||A||{W}{U}{B}{R}{G}||164||C||5||||||{T}: Add one mana of any color to your mana pool.||||||||||||||||164||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||True||||||||||||||||||||||||||||
Manticore Eternal||Hour of Devastation||HOU||430792||Creature — Zombie Manticore||5||4||||{3}{R}{R}||5||Yeong-Hao Han||#While most Eternals were initiates who completed the trials, Bolas had plans for some of Amonkhet's other denizens.#||R||||103||U||5||£6/27/2017 : If, during your declare attackers step, Manticore Eternal is tapped or is affected by a spell or ability that says it can’t attack, then it doesn’t attack. If there’s a cost associated with having it attack, you aren’t forced to pay that cost, so it doesn’t have to attack in that case either.£6/27/2017 : If multiple creatures block a creature with afflict, afflict triggers only once.£6/27/2017 : Afflict causes the defending player to lose life; it’s not damage or combat damage.£6/27/2017 : If a creature is attacking a planeswalker, that planeswalker’s controller is the defending player.£6/27/2017 : Afflict resolves before combat damage is dealt. If this loss of life brings a player to 0 life or less, that player loses the game immediately. A blocking creature with lifelink won’t deal combat damage in time to save that player.||||Afflict 3 #(Whenever this creature becomes blocked, defending player loses 3 life.)#£Manticore Eternal attacks each combat if able.||||||||||||||||103||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||R||True||||||||||||||||||||||||||||
Marauding Boneslasher||Hour of Devastation||HOU||430759||Creature — Zombie Minotaur||3||3||||{2}{B}||3||Victor Adame Minguez||#With the Hekma destroyed, the wandering dead that sought entrance to Naktamun had free rein to lay waste to the city.#||B||||70||C||5||£6/27/2017 : Whether you control another Zombie is checked only as you declare blockers. Marauding Boneslasher won’t stop blocking if you don’t control one later.£6/27/2017 : The other Zombie doesn’t have to block.||||Marauding Boneslasher can't block unless you control another Zombie.||||||||||||||||70||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||B||True||||||||||||||||||||||||||||
Merciless Eternal||Hour of Devastation||HOU||430760||Creature — Zombie Cleric||2||2||||{2}{B}||3||Mathias Kollros||#"My work here is complete. The people have done everything required of them."£—Nicol Bolas#||B||||71||U||5||£6/27/2017 : If multiple creatures block a creature with afflict, afflict triggers only once.£6/27/2017 : Afflict causes the defending player to lose life; it’s not damage or combat damage.£6/27/2017 : If a creature is attacking a planeswalker, that planeswalker’s controller is the defending player.£6/27/2017 : Afflict resolves before combat damage is dealt. If this loss of life brings a player to 0 life or less, that player loses the game immediately. A blocking creature with lifelink won’t deal combat damage in time to save that player.||||Afflict 2 #(Whenever this creature becomes blocked, defending player loses 2 life.)#£{2}{B}, Discard a card: Merciless Eternal gets +2/+2 until end of turn.||||||||||||||||71||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||B||True||||||||||||||||||||||||||||
Mirage Mirror||Hour of Devastation||HOU||430854||Artifact||||||||{3}||3||Craig J Spearing||#Most mirrors show your reflection. Others show your potential.#||A||||165||R||5||£6/27/2017 : Once Mirage Mirror’s ability resolves, it no longer has that ability.£6/27/2017 : Mirage Mirror copies the printed values of the target permanent, plus any copy effects that have been applied to it. It won’t copy counters on that permanent or effects that have changed its power, toughness, types, color, or so on. Notably, it won’t copy effects that made the target permanent become a creature.£6/27/2017 : If Mirage Mirror copies a permanent that’s copying something else, it will become whatever the target is copying.£6/27/2017 : If you activate Mirage Mirror’s ability multiple times in a turn in response to itself, then each time one of those abilities resolves, it will overwrite whatever Mirage Mirror is copying. Mirage Mirror will wind up as a copy of the permanent targeted by the last ability to resolve. When the turn ends, all instances of the ability will wear off at the same time.£6/27/2017 : If an effect begins to apply to Mirage Mirror before it becomes a copy of another permanent, that effect will continue to apply. For example, if Mirage Mirror is activated twice in response to itself targeting first Rampaging Hippo then Frilled Sandwalla, the ability it has while it’s a copy of Frilled Sandwalla can be activated and its effect will continue to apply while Mirage Mirror is a copy of Rampaging Hippo.£6/27/2017 : If Mirage Mirror becomes a creature the same turn it enters the battlefield, you can’t attack with it or use any of its {T} abilities (if it gains any) unless it has haste.£6/27/2017 : If Mirage Mirror becomes a copy of a legendary permanent you control, you’ll put one of them into your graveyard. The same is true if it becomes a copy of a planeswalker creature you control (such as Gideon of the Trials that’s become a creature).£6/27/2017 : If Mirage Mirror becomes a copy of an Aura, it’s put into its owner’s graveyard unless it’s somehow attached to an appropriate object or player already. If it becomes a copy of an Equipment and is attached to a creature, it’ll become unattached when it becomes a non-Equipment artifact again.||||{2}: Mirage Mirror becomes a copy of target artifact, creature, enchantment, or land until end of turn.||||||||||||||||165||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||True||||||||||||||||||||||||||||
Moaning Wall||Hour of Devastation||HOU||430761||Creature — Zombie Wall||0||5||||{2}{B}||3||Piotr Jabłoński||#Before the monuments, before the first trials, before Naktamun itself, Bolas culled the plane of its adults in order to rebuild it for his own designs.#||B||||72||C||5||||||Defender£Cycling {2} #({2}, Discard this card: Draw a card.)#||||||||||||||||72||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||B||True||||||||||||||||||||||||||||
Mountain||Hour of Devastation||HOU||430877||Basic Land — Mountain||||||||||0||Florian de Gesincourt||||L||{R}||188||C||5||||1||{R}||||||||||||||||188||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||R||True||||||||||||||||||||||||||||
Mummy Paramount||Hour of Devastation||HOU||430705||Creature — Zombie||2||2||||{1}{W}||2||Josu Hernaiz||#"It appears some mummies have begun to observe a hierarchy all their own."£—Elekh, vizier of embalming#||W||||16||C||5||||||Whenever another Zombie enters the battlefield under your control, Mummy Paramount gets +1/+1 until end of turn.||||||||||||||||16||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||W||True||||||||||||||||||||||||||||
Neheb, the Eternal||Hour of Devastation||HOU||430793||Legendary Creature — Zombie Minotaur Warrior||4||6||||{3}{R}{R}||5||Chris Rahn||#"This is what glory looks like."£—Nicol Bolas#||R||{R}||104||M||5||£6/27/2017 : Damage dealt to a player causes that player to lose that much life.£6/27/2017 : Because it triggers at the beginning of a phase, Neheb’s last ability isn’t a mana ability. It uses the stack and can be countered by effects that interact with triggered abilities, such as that of Nimble Obstructionist.£6/27/2017 : You get a postcombat main phase even if no creatures attacked during a turn. Neheb’s last ability will trigger.£6/27/2017 : If an opponent loses life but Neheb leaves the battlefield before your postcombat main phase begins, its last ability doesn’t trigger.£6/27/2017 : Neheb’s ability checks only how much life opponents lost during the turn, not by how much their life total decreased compared to the start of the turn. For example, if an opponent lost 2 life and then gained 8 life before your postcombat main phase, you’ll add {R}{R} to your mana pool.£6/27/2017 : If an opponent loses life and subsequently loses the game before your postcombat main phase, Neheb’s last ability counts that loss of life.£6/27/2017 : If you somehow have more than two main phases in a turn, each main phase after your first one is a postcombat main phase, and Neheb’s last ability triggers at the beginning of each of them.£6/27/2017 : If multiple creatures block a creature with afflict, afflict triggers only once.£6/27/2017 : Afflict causes the defending player to lose life; it’s not damage or combat damage.£6/27/2017 : If a creature is attacking a planeswalker, that planeswalker’s controller is the defending player.£6/27/2017 : Afflict resolves before combat damage is dealt. If this loss of life brings a player to 0 life or less, that player loses the game immediately. A blocking creature with lifelink won’t deal combat damage in time to save that player.||||Afflict 3 #(Whenever this creature becomes blocked, defending player loses 3 life.)#£At the beginning of your postcombat main phase, add {R} to your mana pool for each 1 life your opponents have lost this turn.||||||||||||||||104||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||R||True||||||||||||||||||||||||||||
Nicol Bolas, God-Pharaoh||Hour of Devastation||HOU||430829||Planeswalker — Bolas||||||7||{4}{U}{B}{R}||7||Raymond Swanland||||URB (O)||||140||M||5||£6/27/2017 : The cards exiled by Nicol Bolas’s first and second abilities are exiled face up.£6/27/2017 : You may cast the nonland card exiled by Nicol Bolas’s first ability that turn even if Nicol Bolas is no longer on the battlefield or under your control.£6/27/2017 : Casting the card exiled with Nicol Bolas’s first ability follows the normal timing rules for casting that card. For example, if the card is a creature card, you can cast that card only during your main phase while the stack is empty.£6/27/2017 : If you don’t cast the card exiled by Nicol Bolas’s first ability that turn, it will remain exiled.£6/27/2017 : If you cast a card “without paying its mana cost,” you can’t pay any alternative costs, such as emerge costs. You can, however, pay additional costs. If the card has any mandatory additional costs, such as that of Tormenting Voice, you must pay those to cast the card.£6/27/2017 : If the card has {X} in its mana cost, you must choose 0 as the value of X when casting it without paying its mana cost.£6/27/2017 : While resolving Nicol Bolas’s second ability, each opponent chooses which cards to exile from his or her hand. Any opponent with two or fewer cards exiles his or her entire hand.£6/27/2017 : In a multiplayer game, if a player leaves the game, all cards that player owns leave as well. If you leave the game, any spell or permanent cards you control from Nicol Bolas’s first ability are exiled.||||+2: Target opponent exiles cards from the top of his or her library until he or she exiles a nonland card. Until end of turn, you may cast that card without paying its mana cost.£+1: Each opponent exiles two cards from his or her hand.£−4: Nicol Bolas, God-Pharaoh deals 7 damage to target opponent or creature an opponent controls.£−12: Exile each nonland permanent your opponents control.||||||||||||||||140||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||UBR||True||||||||||||||||||||||||||||
Nicol Bolas, the Deceiver||Hour of Devastation||HOU||432884||Planeswalker — Bolas||||||5||{5}{U}{B}{R}||8||Svetlin Velinov||||URB (O)||||205||M||5||£6/27/2017 : While resolving Nicol Bolas’s first ability, your opponent chooses a card to be discarded without revealing it, chooses a nonland permanent to be sacrificed, or chooses to do neither. Then that player discards that card, sacrifices that permanent, or loses 3 life. Your opponent can always choose to lose 3 life, even if he or she has cards to discard or nonland permanents to sacrifice.£6/27/2017 : In a multiplayer game, each opponent in turn order makes his or her choice for Nicol Bolas’s first ability, then all of the actions occur simultaneously. Opponents will know choices made by earlier opponents when making their choices, although a card chosen to be discarded this way isn’t revealed until it’s discarded.£6/27/2017 : If the target of Nicol Bolas’s second ability becomes illegal, the ability is countered and you won’t draw a card. If that target is legal but can’t be destroyed, most likely because it has indestructible, you still draw a card.£6/27/2017 : If Nicol Bolas’s third ability causes each opponent to have 0 or less life, but it also causes you to try to draw more cards than you have in your library, the game ends in a draw.||||+3: Each opponent loses 3 life unless that player sacrifices a nonland permanent or discards a card.£−3: Destroy target creature. Draw a card.£−11: Nicol Bolas, the Deceiver deals 7 damage to each opponent. You draw seven cards.||||||||||||||||205||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||UBR||True||||||||||||||||||||||||||||
Nimble Obstructionist||Hour of Devastation||HOU||430729||Creature — Bird Wizard||3||1||||{2}{U}||3||Shreya Shetty||||U||||40||R||5||£4/18/2017 : Some cards with cycling have an ability that triggers when you cycle them. These triggered abilities resolve before you draw from the cycling ability.£4/18/2017 : Triggered abilities from cycling a card and the cycling ability itself aren’t spells. Effects that interact with spells (such as that of Cancel) won’t affect them.£4/18/2017 : You can cycle a card even if it has a triggered ability from cycling that won’t have a legal target. This is because the cycling ability and the triggered ability are separate. This also means that if either ability is countered (with Disallow, for example, or if the triggered ability’s targets have become illegal), the other ability will still resolve.£6/27/2017 : Activated abilities are written in the form “Cost: Effect.” Some keyword abilities, such as equip and eternalize, are activated abilities and will have colons in their reminder texts.£6/27/2017 : Triggered abilities use the word “when,” “whenever,” or “at.” They’re often written as “[Trigger condition], [effect].” Some keyword abilities, such as prowess and afflict, are triggered abilities and will have “when,” “whenever,” or “at” in their reminder text.£6/27/2017 : If you counter a delayed triggered ability that triggers at the beginning of the “next” occurrence of a specified step or phase, that ability won’t trigger again the following time that phase or step occurs.£6/27/2017 : Mana abilities can’t be targeted. An activated mana ability is one that adds mana to a player’s mana pool as it resolves, doesn’t have a target, and isn’t a loyalty ability. A triggered mana ability is one that adds mana to a player’s mana pool and triggers on an activated mana ability.£6/27/2017 : Abilities that create replacement effects, such as a permanent entering the battlefield tapped or with counters on it, can’t be targeted. Abilities that apply “as [this creature] enters the battlefield” are also replacement effects and can’t be targeted.||||Flash£Flying£Cycling {2}{U} #({2}{U}, Discard this card: Draw a card.)#£When you cycle Nimble Obstructionist, counter target activated or triggered ability you don't control.||||||||||||||||40||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||U||True||||||||||||||||||||||||||||
